,Location,Latitude,Longitude,Altitude
154,station_154,26.84729,85.96202,112.0
155,station_155,26.88194,86.03908,135.0
156,station_156,26.92745,86.21001,225.0
157,station_157,28.17034,84.641,1445.0
158,station_158,26.85116,86.03592,116.0
159,station_159,26.79502,86.01362,97.0
160,station_160,26.99735,85.97365,313.0
161,station_161,26.66034,85.93633,72.0
162,station_162,26.79502,86.10218,93.0
163,station_163,26.73352,86.09848,88.0
164,station_164,26.6917,86.00311,73.0
165,station_165,26.91822,85.92106,162.0
166,station_166,26.67741,85.99672,76.0
167,station_167,26.63676,86.12911,75.0
168,station_168,27.13828,85.23707,156.0
169,station_169,26.60232,85.88213,64.0
170,station_170,26.72882,85.92628,83.0
171,station_171,26.89756,85.81682,119.0
172,station_172,26.77124,85.81752,84.0
173,station_173,26.97885,85.88683,202.0
174,station_174,26.85139,85.87116,102.0
175,station_175,26.92078,85.80564,128.0
176,station_176,26.64127,85.7913,68.0
177,station_177,26.80186,85.8493,89.0
178,station_178,26.72737,85.76102,75.0
179,station_179,26.61708,85.84079,66.0
180,station_180,26.81037,85.79899,87.0
181,station_181,26.6751,85.74868,69.0
182,station_182,26.879142237,85.819913653,108.0
183,station_183,26.70745,85.85249,78.0
184,station_184,26.80872,85.73249,88.0
185,station_185,26.86226,85.74337,99.0
186,station_186,27.239626604,84.780150251,159.0
187,station_187,27.07853,84.8238,92.0
188,station_188,27.16668,84.89306,116.0
189,station_189,27.08189,84.75855,88.0
190,station_190,27.03908,84.81501,86.0
191,station_191,27.06336,84.6647,87.0
192,station_192,27.07338,84.69091,89.0
193,station_193,27.06714,84.69047,90.0
194,station_194,27.18584,84.7057,109.0
195,station_195,27.239626604,84.780150251,159.0
196,station_196,27.02523,84.73609,81.0
197,station_197,27.18718,84.77259,114.0
198,station_198,27.16299,84.81942,102.0
199,station_199,27.36705,84.62481,289.0
200,station_200,26.8926,85.23308,83.0
201,station_201,27.04348,85.39737,111.0
202,station_202,27.12629,85.3846,140.0
203,station_203,26.91225,85.25573,85.0
204,station_204,26.9459,85.3713,91.0
205,station_205,26.95129,85.3259,92.0
206,station_206,26.77969,85.27556,74.0
207,station_207,27.11174,85.25082,134.0
208,station_208,26.80056,85.20921,75.0
209,station_209,26.97495,85.2354,93.0
210,station_210,26.88932,85.33878,86.0
211,station_211,26.92703,85.19877,87.0
212,station_212,26.85098,85.2339,80.0
213,station_213,27.03446,85.20542,105.0
214,station_214,26.76473,85.34324,76.0
215,station_215,26.81286,85.25954,78.0
216,station_216,26.83213,85.31311,80.0
217,station_217,27.00158038,85.302305403,93.0
218,station_218,26.5704,86.5834,90.0
219,station_219,26.53181,86.63346,85.0
220,station_220,26.51172,86.87737,74.0
221,station_221,26.63123,86.89474,101.0
222,station_222,26.63143,86.59766,115.0
223,station_223,26.5402,86.74859,88.0
224,station_224,26.71733,86.93621,102.0
225,station_225,26.60153,86.68252,111.0
226,station_226,26.69416,86.55093,140.0
227,station_227,26.64004,86.78881,134.0
228,station_228,26.598053399,86.746158901,106.0
229,station_229,26.5033,86.72616,80.0
230,station_230,26.44666,86.71646,71.0
231,station_231,26.53745,86.81135,80.0
232,station_232,26.598053399,86.746158901,106.0
233,station_233,26.62979,86.71173,133.0
234,station_234,26.4906,86.8265,74.0
235,station_235,26.59105,86.86199,92.0
236,station_236,27.08079,85.4792,120.0
237,station_237,26.77821,85.37508,76.0
238,station_238,27.01953,85.45917,103.0
239,station_239,26.86194,85.46627,84.0
240,station_240,27.02448,85.58192,122.0
241,station_241,26.89601,85.68485,100.0
242,station_242,27.09165,85.58205,149.0
243,station_243,27.0048,85.61587,123.0
244,station_244,27.89754,85.29511,1257.0
245,station_245,27.05429,85.63239,152.0
246,station_246,26.85559,85.55996,87.0
247,station_247,27.066,85.00138,106.0
248,station_248,26.8309,85.49052,81.0
249,station_249,26.88788,85.6127,88.0
250,station_250,26.89465,85.52807,93.0
251,station_251,26.93626,85.60454,101.0
252,station_252,26.90299,85.43744,86.0
253,station_253,26.86177,85.50894,87.0
254,station_254,26.88216,85.63519,91.0
255,station_255,26.85201,85.38723,83.0
256,station_256,26.80999,86.42795,207.0
257,station_257,26.80322,86.3346,152.0
258,station_258,26.76345,86.20346,93.0
259,station_259,26.84219,86.21497,122.0
260,station_260,26.7125,86.48811,122.0
261,station_261,26.85932,86.17007,106.0
262,station_262,26.7125,86.48811,122.0
263,station_263,26.70995,86.34997,104.0
264,station_264,26.69381,86.28559,94.0
265,station_265,26.62763,86.3004,82.0
266,station_266,26.63194,86.34527,86.0
267,station_267,26.59148,86.48686,88.0
268,station_268,26.72635,86.24977,95.0
269,station_269,26.6702,86.3922,99.0
270,station_270,26.746454493,86.342424177,122.0
271,station_271,26.59806,86.40927,91.0
272,station_272,26.63894,86.50025,108.0
273,station_273,27.98799,83.17605,1013.0
274,station_274,27.97263,83.12486,954.0
275,station_275,27.83968,82.98723,1207.0
276,station_276,28.01024,83.20679,967.0
277,station_277,28.06702,83.07274,1769.0
278,station_278,27.88416,83.25291,1058.0
279,station_279,28.22553,81.72842,179.0
280,station_280,28.24311,81.65924,174.0
281,station_281,28.0332,81.71051,140.0
282,station_282,28.087173474,81.822276922,155.0
283,station_283,28.07408,81.62037,147.0
284,station_284,27.90277,81.84215,139.0
285,station_285,28.09756,81.87933,210.0
286,station_286,28.05,81.61667,149.0
287,station_287,28.35832,81.73851,475.0
288,station_288,28.32224,81.3977,158.0
289,station_289,28.2058,81.34532,147.0
290,station_290,28.33577,81.2707,162.0
291,station_291,28.42721,81.09123,145.0
292,station_292,28.4436,81.28988,184.0
293,station_293,28.15209,81.48387,145.0
294,station_294,28.49915,81.1873,162.0
295,station_295,27.87183,82.52079,258.0
296,station_296,28.16829,82.08431,598.0
297,station_297,27.99384,82.67143,1529.0
298,station_298,28.08608,82.15646,580.0
299,station_299,27.81001,82.53929,256.0
300,station_300,27.88404,82.23904,532.0
301,station_301,27.968780912,82.402294235,821.0
302,station_302,28.15982,82.22356,667.0
303,station_303,27.67465,85.32364,1326.0
304,station_304,28.15346,82.31172,745.0
305,station_305,28.17156,83.25859,1213.0
306,station_306,28.05267,83.25598,1500.0
307,station_307,28.1153,83.4355,1736.0
308,station_308,27.98666,83.34978,1180.0
309,station_309,28.11827,83.16532,1245.0
310,station_310,28.0416,83.31386,1170.0
311,station_311,28.16501,83.21671,1295.0
312,station_312,28.05226,83.52767,1360.0
313,station_313,28.17505,83.06921,1495.0
314,station_314,28.21359,83.14999,2004.0
315,station_315,27.94827,83.42579,881.0
316,station_316,28.02869,83.47358,1425.0
317,station_317,27.69013,83.21047,168.0
318,station_318,27.68409,83.00297,119.0
319,station_319,27.5445,83.05356,108.0
320,station_320,27.50662,82.78785,101.0
321,station_321,27.5369,82.94074,102.0
322,station_322,27.5445,83.05356,108.0
323,station_323,27.55008,82.83081,105.0
324,station_324,27.5246,83.1424,101.0
325,station_325,27.50984,83.19537,97.0
326,station_326,27.48504,83.05861,95.0
327,station_327,27.56847,83.79448,208.0
328,station_328,27.52867,83.67453,114.0
329,station_329,27.61889,83.64176,135.0
330,station_330,27.4806,83.66486,110.0
331,station_331,27.45968,83.81821,109.0
332,station_332,27.49197,83.72584,109.0
333,station_333,27.633725066,83.953150123,186.0
334,station_334,27.85795,83.89469,421.0
335,station_335,27.86731,83.5467,1299.0
336,station_336,27.87945,83.60755,944.0
337,station_337,27.76547,83.65733,1291.0
338,station_338,27.87129,83.81237,358.0
