Location,Latitude,Longitude,Altitude
Jitpur,27.12,84.95,124.0
Manaharwa,27.08,85.03,124.0
Prasauna,27.08,85.12,124.0
Rampurwa,27.03,85.17,124.0
Kabahigaon,26.9,85.02,104.0
Nirahi,26.98,85.08,104.0
Tetariya,27.03,85.1,124.0
Kalaiya,27.02,84.98,124.0
Prastoka,27.07,84.95,120.0
Prasauni,27.02,84.92,104.0
Matiarwa,27.95,84.95,104.0
Itiyahi,27.98,84.88,104.0
Matisar,27.02,84.97,109.0
Bariyarpur,27.98,85.05,104.0
Laluwadi,27.87,85.05,104.0
Pheta,27.0,84.93,118.0
Gothi,27.42,81.5,267.0
Bela,27.33,81.28,192.0
Nagarkot,27.72,85.5,1614.0
Machhenarayan,27.7,85.47,1438.0
Pancha Mahalaxmi,27.72,85.45,1392.0
Changu Narayan,27.72,85.42,1311.0
Kharipati,27.68,85.45,1334.0
Bageswori,27.68,85.48,1654.0
Sudal,27.67,85.47,1438.0
Duwakot,27.68,85.4,1342.0
Bhatgaon,27.67,85.42,1312.0
Jhaukhel,27.68,85.43,1339.0
Thimi,27.67,85.37,1315.0
Balkot,27.65,85.37,1314.0
Sallaghari,27.67,85.4,1313.0
Bhaktapur,27.67,85.43,1312.0
Chittapol,27.65,85.43,1402.0
Suryabinayak,27.63,85.43,1595.0
Sipadol,27.65,85.42,1351.0
Gundu,27.63,85.4,1451.0
Dadhikot,27.65,85.38,1335.0
Palanse,27.63,85.45,1562.0
Dobhane,27.38,86.95,2359.0
Khatamma,27.4,87.03,1172.0
Kulunga,27.43,87.1,1023.0
Kudak Kaule,27.37,87.08,957.0
Timma,27.43,87.0,2103.0
Kimaluno,27.47,87.05,1986.0
Shadanada,27.33,87.12,1089.0
Sanpang,27.3,87.12,1285.0
Boya,27.27,87.08,1817.0
supteswor,27.22,87.0,1845.0
annapurna,27.18,86.93,1893.0
Bokhim,27.18,87.03,1082.0
Yangpang,27.23,87.17,1138.0
Charambi,27.18,87.2,668.0
Yaku,27.13,87.18,1049.0
Sanodumma,27.08,87.17,683.0
Bastim,27.1,87.1,1051.0
Bhojpur,27.17,87.03,1590.0
Kot,27.13,86.98,1197.0
lekharka,27.13,86.93,1936.0
Okhre,27.08,86.95,2006.0
Baikunthe,27.05,87.0,1702.0
Ranibas,27.02,88.43,1394.0
Homtang,27.0,87.17,1009.0
Sidrang,27.0,87.08,1256.0
Thidinigkha,26.98,87.0,1438.0
Pangcha,26.92,86.97,791.0
Dummana,26.93,87.07,514.0
Hasanpur,26.93,87.12,777.0
Dewantar,26.97,87.07,1494.0
Darechok,27.85,84.6,930.0
Chandibhangyang,27.8,84.57,1238.0
Kabilas,27.77,84.48,488.0
Kaule,27.77,84.63,1631.0
Shaktikhor,27.73,84.4,692.0
Siddi,27.7,84.63,498.0
Lothar,27.7,84.72,799.0
Narayangarh,27.68,84.42,203.0
Jutpani,27.68,84.52,269.0
Korak,27.63,84.67,531.0
Pithuwa,27.63,84.53,256.0
Mangalpur,27.67,84.32,189.0
Bharatpur,27.65,84.42,228.0
Meghauli,27.57,84.2,189.0
Chitraban,27.62,84.33,228.0
Ratnanagar,27.58,84.5,229.0
Piple,27.58,84.68,269.0
Kothar,27.55,84.58,228.0
Padampur,27.53,84.48,228.0
Gardi,27.47,84.23,248.0
madi,27.42,84.37,285.0
Bhagauda,27.43,84.32,215.0
Gitanagar,27.62,84.37,229.0
Dewal Debyapur,29.47,80.45,1420.0
Dhadrapur,29.35,80.5,1102.0
Samjee,29.35,80.55,1616.0
Ayayameru,29.37,80.58,1706.0
Kotai,29.33,80.63,1528.0
Belapur,29.35,80.73,1574.0
Nawadurga,29.32,80.7,1015.0
Ganeshpur,29.27,80.65,1276.0
Ashigram,29.22,80.63,1635.0
Gankhel,29.18,80.53,1302.0
Bagarkot,29.28,80.47,1287.0
Bageswori_1,29.32,80.38,1022.0
Rupal,29.28,80.33,1199.0
Gogan,29.18,80.4,1324.0
Sirsha,29.15,80.33,760.0
Parashuram,29.13,80.3,835.0
Alital,29.07,80.48,1231.0
Gankha,29.18,80.53,1330.0
Siddanath,29.07,80.42,665.0
Shikar,29.22,80.63,1512.0
Pipalkot_1,29.07,81.53,1698.0
Tilepata,29.02,81.47,1316.0
Sigaudi,28.98,81.43,1351.0
lalchandra,28.98,81.53,1283.0
Bisaila,29.02,81.58,1880.0
Kusapahi,28.98,81.63,1962.0
Chamunda,28.95,81.58,1419.0
Samikandh,28.92,81.55,1089.0
Bindraseni,28.9,81.5,1260.0
Dullu,28.83,81.57,1673.0
Raniban,28.93,81.68,1443.0
Baluwatar,28.95,81.77,1735.0
Kalika,28.93,81.88,2078.0
Naumule,28.88,81.82,1601.0
Narayan Municipality,28.85,81.72,1483.0
Rawatkot,28.88,81.63,1146.0
Malika,28.78,81.62,1055.0
Seri,28.72,81.62,1289.0
Gauri,28.75,81.67,897.0
Pilalel,28.67,81.72,1885.0
Katli,28.75,81.8,1869.0
Room,28.8,81.82,2194.0
Jagannath,28.77,81.87,1983.0
Lakuri,28.78,81.72,1073.0
Kharigaiga,28.9,81.7,1333.0
Kalimati rampur,28.22,82.97,683.0
Bagmare,28.2,82.13,713.0
Panchkule,28.12,82.07,816.0
Shantinagar,28.17,82.22,697.0
Shreegaon,28.12,82.17,581.0
Goltakuri,28.05,82.13,935.0
Tulsipur,28.13,82.3,753.0
Tarigaon,28.08,82.27,608.0
Uranari,28.05,82.22,585.0
Ameliya,27.95,82.2,273.0
Dhikpur,28.05,82.35,586.0
Hapur,28.1,82.42,757.0
Ghorahi,28.05,82.48,690.0
Saigha,28.1,82.5,1146.0
Syuja,28.05,82.57,1535.0
Loharpani,27.98,82.67,1327.0
Hanspur,27.93,82.7,764.0
Bhaluwang_1,27.82,82.73,312.0
Lamahi,27.87,82.57,308.0
Gadhawa,27.75,82.52,425.0
Khardariya,27.85,82.43,243.0
Satbariya,27.92,82.35,361.0
rampurwa,27.97,82.52,653.0
Phulbari,27.98,82.3,624.0
Saudiyar,28.0,82.4,622.0
Maidi,27.88,84.77,1019.0
nalang,27.85,84.83,935.0
Salyantar,28.0,84.82,650.0
Jyamrung,27.97,84.87,1157.0
Marphak,28.0,84.95,1238.0
Semjong,27.97,84.98,1486.0
Khari,27.92,84.77,920.0
MuraliBhanjhyang,27.9,84.85,871.0
Sunaulabazar,27.85,84.9,1232.0
Kaleri,27.82,84.98,1012.0
Kumpur,27.82,84.87,739.0
Benighat,27.78,84.8,847.0
Gajuri,27.77,84.83,634.0
Baireni,27.77,84.97,831.0
Jogimara,27.78,84.68,690.0
Kandrang,27.7,84.77,1236.0
Pida,27.72,84.9,1496.0
Bmumistan,27.72,85.02,1315.0
Thakre,27.73,85.1,839.0
Naubise,27.7,85.15,1024.0
Jibanpur,27.75,85.17,1241.0
Kebalpur,27.75,85.1,1232.0
Goganpani,27.77,85.07,1015.0
Mahadevstan,27.7,84.83,1089.0
Reegaon,28.1,84.97,2040.0
Lipa,28.15,85.02,2094.0
Tipling,28.18,85.15,3466.0
