Municipality,latitude,longitude,altitude
Bareng Rural Municipality,28.1364,83.51072,1842.0
Kanthekhola Rural Municipality,28.263,83.50821,1470.0
Nisikhola Rural Municipality,28.37636,83.02216,2286.0
Taman Khola Rural Municipality,28.39651,83.25399,2092.0
Tara Khola Rural Municipality,28.33541,83.37422,2016.0
Gorkha Municipality,28.00242,84.62009,1155.0
Palungtar Municipality,28.04784,84.49116,580.0
Aarughat Rural Municipality,28.11909,84.81688,1729.0
Ajirkot Rural Municipality,28.15162,84.64008,1789.0
Barpak Sulikot Rural Municipality,28.20301,84.74755,1927.0
Bhimsenthapa Rural Municipality,27.98003,84.47763,858.0
Chum Nubri Rural Municipality,28.542,84.87538,3310.0
Dharche Rural Municipality,28.31322,84.89839,1362.0
Gandaki Rural Municipality,28.318841303,84.79019815,3845.0
Sahid Lakhan Rural Municipality,27.92762,84.64239,1106.0
Siranchok Rural Municipality,28.08588,84.5884,1454.0
Pokhara Metropolitian City,28.21822,83.97697,862.0
Annapurna Rural Municipality,28.43273,83.80456,2892.0
Machhapuchchhre Rural Municipality,28.40112,83.98261,1507.0
Madi Rural Municipality,28.12363,84.10767,692.0
Rupa Rural Municipality,28.14492,84.17076,708.0
Besishahar Municipality,28.22956,84.35541,1160.0
MadhyaNepal Municipality,28.14758,84.26809,613.0
Rainas Municipality,28.10863,84.49414,1198.0
Sundarbazar Municipality,28.13237,84.4168,751.0
Dordi Rural Municipality,28.2917,84.52849,2410.0
Dudhpokhari Rural Municipality,28.23654,84.58983,2811.0
Kwholasothar Rural Municipality,28.31097,84.24882,1386.0
Marsyangdi Rural Municipality,28.289330951,84.43006976,2380.0
Chame Rural Municipality,28.55062,84.25332,2595.0
Manang Ingshyang Rural Municipality,28.672919258,84.224515192,3523.0
Narpa Bhumi Rural Municipality,28.672919258,84.224515192,3523.0
Narshon Rural Municipality,28.672919258,84.224515192,3523.0
Gharapjhong Rural Municipality,28.76995,83.74752,3538.0
Lo-Ghekar Damodarkunda Rural Municipality,28.98131435,83.857874677,3451.0
Lomanthang Rural Municipality,29.15568,83.94859,3877.0
Thasang Rural Municipality,28.69062,83.58839,3049.0
Waragung Muktikhsetra Rural Municipality,28.98131435,83.857874677,3451.0
Beni Municipality,28.34476,83.56376,978.0
Annapurna Rural Municipality,28.52293,83.70039,2819.0
Dhaulagiri Rural Municipality,28.553145105,83.459987712,3368.0
Malika Rural Municipality,28.42125,83.36207,1846.0
Mangala Rural Municipality,28.37861,83.44644,1256.0
Raghuganga Rural Municipality,28.53503,83.51666,1963.0
Devchuli Municipality,27.71443,84.20158,543.0
Gaidakot Municipality,27.73329,84.34122,429.0
Kawasoti Municipality,27.62478,84.14164,157.0
Madhyabindu Municipality,27.63571,83.98817,290.0
Baudeekali Rural Municipality,27.633725066,83.953150123,186.0
Binayee Tribeni Rural Municipality,27.63079,83.86238,167.0
Bulingtar Rural Municipality,27.81891,84.19348,598.0
Hupsekot Rural Municipality,27.73602,83.98428,1211.0
Kushma Municipality,28.22132,83.67977,914.0
Phalebas Municipality,28.15813,83.64115,770.0
Bihadi Rural Municipality,28.04068,83.56833,720.0
Jaljala Rural Municipality,27.36845,87.37216,1676.0
Mahashila Rural Municipality,28.09531,83.67373,1483.0
Modi Rural Municipality,28.12436,83.64531,1110.0
Painyu Rural Municipality,28.04939,83.66475,710.0
Bhirkot Municipality,27.58745,86.09845,1463.0
Chapakot Municipality,28.06740998899,83.807164991185,762.0
Galyang Municipality,27.95817,83.65736,979.0
Putalibazar Municipality,28.08826,83.85869,868.0
Waling Municipality,27.98536,83.76829,787.0
Aandhikhola Rural Municipality,28.16829,83.80122,1021.0
Arjunchaupari Rural Municipality,28.07222,83.76014,1285.0
Biruwa Rural Municipality,28.0211,83.89361,598.0
Harinas Rural Municipality,27.97621,83.95355,1285.0
Kaligandagi Rural Municipality,27.95304,83.53811,787.0
Phedikhola Rural Municipality,28.16092,83.88977,1091.0
Bhanu Municipality,28.00235,84.41739,497.0
Bhimad Municipality,27.98918,84.06421,737.0
Byas Municipality,28.00371,84.279,509.0
Shuklagandaki Municipality,28.06128,84.04733,633.0
Anbukhaireni Rural Municipality,27.90954,84.53028,328.0
Bandipur Rural Municipality,27.92427,84.40538,712.0
Devghat Rural Municipality,27.79595,84.42048,717.0
Ghiring Rural Municipality,27.89851,84.04693,505.0
Myagde Rural Municipality,28.00716,84.15608,501.0
Rhishing Rural Municipality,27.955337109,84.251223445,654.0
Aathabis Municipality,28.881355419,81.678899186,870.0
Chamunda Bindrasaini Municipality,28.93497,81.56441,1248.0
Dullu Municipality,28.85668,81.6047,1426.0
Narayan Municipality,28.8574,81.72687,1491.0
Bhagawatimai Rural Municipality,28.80132,81.81634,1363.0
Bhairabi Rural Municipality,28.94584,81.63676,1357.0
Dungeshwor Rural Municipality,28.75273,81.71793,1116.0
Gurans Rural Municipality,28.71071,81.64515,1829.0
Mahabu Rural Municipality,28.94235,81.69993,1721.0
Naumule Rural Municipality,28.90184,81.8079,1214.0
Thantikandh Rural Municipality,28.97632,81.5267,1492.0
Thuli Bheri Municipality,28.95691,82.85666,2585.0
Tripurasundari Municipality,29.01718,82.76359,2089.0
Chharka Tangsong Rural Municipality,28.97925,83.34043,4059.0
Dolpo Buddha Rural Municipality,29.28798,83.31846,5292.0
Jagadulla Rural Municipality,29.24206,82.66443,4218.0
Kaike Rural Municipality,28.92493,82.99396,3871.0
Mudkechula Rural Municipality,29.0553,82.53463,2405.0
Shey Phoksundo Rural Municipality,29.28383,82.93263,4581.0
Adanchuli Rural Municipality,29.70063,81.86346,2554.0
Chankheli Rural Municipality,29.85581,82.23629,3388.0
Kharpunath Rural Municipality,29.94523,81.85772,2121.0
Namkha Rural Municipality,30.16946,81.62035,5502.0
Sarkegad Rural Municipality,29.78796,81.89687,1990.0
Simkot Rural Municipality,30.13686,81.97407,5048.0
Tanjakot Rural Municipality,29.70535,81.7513,2893.0
Bheri Municipality,28.865419137,82.167889981,1493.0
Chhedagad Municipality,28.75089,82.01912,1623.0
Nalagad Municipality,28.865419137,82.167889981,1493.0
Barekot Rural Municipality,28.95961,82.25177,1755.0
Junichande Rural Municipality,28.90238,81.98813,2275.0
Kuse Rural Municipality,28.88024,82.149,2195.0
Shiwalaya Rural Municipality,28.68857,81.93365,1264.0
Chandannath Municipality,29.3252,82.17109,3033.0
Guthichaur Rural Municipality,29.18121,82.38002,3079.0
Hima Rural Municipality,29.26973,81.92985,2481.0
Kanakasundari Rural Municipality,29.41154,82.02027,2440.0
Patrasi Rural Municipality,29.33541,82.44929,3310.0
Sinja Rural Municipality,29.34107,82.03155,2859.0
Tatopani Rural Municipality,29.23367,82.05367,2294.0
Tila Rural Municipality,29.271714351,82.217266442,2512.0
Khandachakra Municipality,29.15009,81.61183,1771.0
Raskot Municipality,29.27465,81.64553,2674.0
Tilagufa Municipality,29.14612,81.85448,2515.0
Mahawai Rural Municipality,29.04137,81.85773,3862.0
Naraharinath Rural Municipality,29.22012,81.53317,2092.0
Pachaljharana Rural Municipality,29.26051,81.72308,1922.0
Palata Rural Municipality,29.33922,81.84204,1889.0
Sanni Tribeni Rural Municipality,29.26276,81.58511,2078.0
Subha Kalika Rural Municipality,29.08093,81.63039,2524.0
Chhayanath Rara Municipality,29.53397,82.15771,2110.0
Khatyad Rural Municipality,29.53028,81.90175,2227.0
Mugum Karmarong Rural Municipality,29.6789,82.53314,3920.0
Soru Rural Municipality,29.63093,81.96545,2181.0
Aathbiskot Municipality,28.846,82.52065,3649.0
Chaurjahari Municipality,28.63829,82.20051,761.0
Musikot Municipality,28.63101,82.45562,1494.0
Banfikot Rural Municipality,28.70292,82.51497,2484.0
Sani Bheri Rural Municipality,28.701164699,82.663955276,2465.0
Tribeni Rural Municipality,28.56905,82.42802,1570.0
Bagchaur Municipality,28.5219,82.07145,908.0
Bangad Kupinde Municipality,28.493,82.06911,960.0
Sharada Municipality,28.39009,82.16948,1212.0
Chhatreshwori Rural Municipality,28.3577,82.30807,1468.0
Darma Rural Municipality,28.54979,82.3204,1388.0
Kalimati Rural Municipality,28.28771,82.04614,722.0
Kapurkot Rural Municipality,28.23128,82.35008,1549.0
Kumakh Rural Municipality,28.401949637,82.143720613,1336.0
Siddha Kumakh Rural Municipality,28.401949637,82.143720613,1336.0
Tribeni Rural Municipality,28.29616,82.29881,1547.0
Bheriganga Municipality,28.47025,81.68014,698.0
Birendranagar Municipality,28.60645,81.61429,728.0
Gurbhakot Municipality,28.43929,81.90146,636.0
Lekbeshi Municipality,28.53564,81.7639,1003.0
Panchpuri Municipality,28.78963,81.40383,380.0
Barahtal Rural Municipality,28.65372,81.45104,322.0
Chaukune Rural Municipality,28.85994,81.27875,714.0
Chingad Rural Municipality,28.62686,81.84098,1478.0
Simta Rural Municipality,28.54692,81.94508,1027.0
Kamalbazar Municipality,29.0635,81.33134,1963.0
Mangalsen Municipality,29.14109,81.22001,1285.0
Panchadewal Binayak Municipality,29.10081,81.44631,964.0
Sanphebagar Municipality,29.25887,81.18146,1317.0
Bannigadhi Jayagadh Rural Municipality,29.19204,81.30356,1542.0
Chaurpati Rural Municipality,29.20352,81.12968,1736.0
Dhakari Rural Municipality,28.99951,81.26129,1627.0
Mellekh Rural Municipality,29.26748,81.32136,1966.0
Ramaroshan Rural Municipality,29.20058,81.45138,1827.0
Turmakhad Rural Municipality,28.94179,81.36932,1460.0
Dasharathchanda Municipality,29.56037,80.41134,1391.0
Melauli Municipality,29.41567,80.44208,1328.0
Patan Municipality,27.90109,85.79494,1847.0
Purchaudi Municipality,29.60326,80.70177,1322.0
Dilasaini Rural Municipality,29.6534,80.58435,1330.0
Dogadakedar Rural Municipality,29.59137,80.529,1389.0
Pancheshwar Rural Municipality,29.43078,80.26872,1435.0
Shivanath Rural Municipality,29.41058,80.37271,1727.0
Sigas Rural Municipality,29.42557,80.73794,1184.0
Surnaya Rural Municipality,29.52967,80.615,1682.0
Bungal Municipality,29.68936,80.94905,3952.0
JayaPrithivi Municipality,29.55201,81.16174,2088.0
Bithadchir Rural Municipality,29.50404,80.856,1659.0
Chabispathivera Rural Municipality,29.56082,81.06176,1981.0
Durgathali Rural Municipality,29.53274,81.0056,2306.0
Kedarseu Rural Municipality,29.51347,80.93567,2353.0
Khaptadchhanna Rural Municipality,29.45771,81.21321,2579.0
Masta Rural Municipality,29.54237,81.29939,2553.0
SaiPaal Rural Municipality,29.965,81.21985,4065.0
Surma Rural Municipality,29.64195,81.08132,2375.0
Talkot Rural Municipality,29.61087,81.3076,1750.0
Thalara Rural Municipality,29.60788,81.31314,1698.0
Badimalika Municipality,29.43947,81.4992,2120.0
Budhiganga Municipality,29.35987,81.53034,3762.0
Budhinanda Municipality,29.53828,81.6178,2091.0
Tribeni Municipality,29.33594,81.43072,2618.0
Gaumul Rural Municipality,29.56923,81.48293,2417.0
Himali Rural Municipality,29.71252,81.61904,3138.0
Jagannath Rural Municipality,29.45252,81.69567,1667.0
Khaptad Chhededaha Rural Municipality,29.39867,81.2829,2019.0
Swami Kartik Khaapar Rural Municipality,29.42717,81.75914,3097.0
Amargadhi Municipality,29.23782,80.60651,2407.0
Parashuram Municipality,29.1555,80.27587,332.0
Ajaymeru Rural Municipality,29.364,80.55586,1839.0
Alital Rural Municipality,29.12405,80.48384,629.0
Bhageshwar Rural Municipality,29.32839,80.40252,1104.0
Ganayapdhura Rural Municipality,29.24841,80.68054,1892.0
Nawadurga Rural Municipality,29.36382,80.70247,1703.0
Mahakali Municipality,29.891965108,80.7918967,3947.0
Shailyashikhar Municipality,29.70637,80.575,1678.0
Apihimal Rural Municipality,29.87016,80.88376,2450.0
Byas Rural Municipality,30.101257497,80.959309917,4398.0
Dunhu Rural Municipality,29.8921,80.61957,1670.0
Lekam Rural Municipality,29.65574,80.46502,1264.0
Malikaarjun Rural Municipality,29.73763,80.48455,1689.0
Marma Rural Municipality,29.74163,80.84767,2625.0
Naugad Rural Municipality,29.7978,80.67992,2453.0
Dipayal Silgadi Municipality,29.2601,80.97434,1084.0
Shikhar Municipality,29.24472,80.82259,1275.0
Adharsha Rural Municipality,29.35152,80.86687,1834.0
Badikedar Rural Municipality,29.03501,80.86607,1479.0
Bogtan Foodsil Rural Municipality,29.04997,81.066,1024.0
Jorayal Rural Municipality,29.10286,80.67617,1121.0
K I Singh Rural Municipality,29.17769,80.98034,1036.0
Purbichauki Rural Municipality,29.27055,81.06172,1188.0
Sayal Rural Municipality,28.9884,80.89138,1166.0
Bhajani Municipality,28.4914,80.97963,145.0
Gauriganga Municipality,28.7515,80.81065,190.0
Ghodaghodi Municipality,28.7146,80.95036,180.0
Godawari Municipality,28.909,80.56706,829.0
Lamkichuha Municipality,28.741474423,80.879157184,214.0
Tikapur Municipality,28.5288,81.12495,158.0
Bardagoriya Rural Municipality,28.68775,81.04411,184.0
Chure Rural Municipality,28.91069,80.81186,779.0
Janaki Rural Municipality,28.56864,81.14518,168.0
Joshipur Rural Municipality,28.56493,81.02158,155.0
Kailari Rural Municipality,28.59775,80.79601,159.0
Mohanyal Rural Municipality,28.81341,81.11331,515.0
Dhangadhi Sub-Metropolitian City,28.69581,80.61384,181.0
Bedkot Municipality,28.98192,80.2671,250.0
Belauri Municipality,28.68009,80.33933,176.0
Bhimdatta Municipality,28.97363,80.1761,223.0
Krishnapur Municipality,28.91483,80.44527,246.0
Mahakali Municipality,28.861775403,80.321789483,216.0
Punarbas Municipality,28.63896,80.46738,180.0

