Municipality,latitude,longitude,altitude
Phungling Municipality,27.36118,87.65222,1448.0
Aathrai Tribeni Rural Municipality,27.31899,87.61039,1391.0
Maiwakhola Rural Municipality,27.38971,87.5041,2806.0
Meringden Rural Municipality,26.99653,87.71286,2154.0
Mikwakhola Rural Municipality,27.55884,87.61268,2782.0
Pathivara Yangwarak Rural Municipality,27.32514,87.73428,1921.0
Phaktanglung Rural Municipality,27.68142,87.92025,4927.0
Sidingba Rural Municipality,27.35794,87.94596,2603.0
Sirijangha Rural Municipality,27.49426,87.96349,3481.0
Laligurans Municipality,27.12937,87.45301,1710.0
Myanglung Municipality,27.10363,87.54679,1655.0
Aathrai Rural Municipality,27.20727,87.68447,1600.0
Chhathar Rural Municipality,26.9847,87.4709,721.0
Menchayam Rural Municipality,27.154443422,87.548968457,1062.0
Phedap Rural Municipality,27.1964,87.57914,2192.0
Belaka Municipality,26.81696,87.05432,146.0
Chaudandigadhi Municipality,26.87973,86.93684,965.0
Katari Municipality,26.955,86.37841,218.0
Triyuga Municipality,26.7919,86.699,165.0
Limchungbung Rural Municipality,26.903076703,86.681347466,1075.0
Rautamai Rural Municipality,26.93522,86.69906,1795.0
Tapli Rural Municipality,27.08591,86.53682,599.0
Udayapurgadhi Rural Municipality,26.91515,86.55004,682.0
Kolhabi Municipality,27.09226,85.14446,115.0
Mahagadhimai Municipality,26.98198,85.05344,96.0
Nijgadh Municipality,27.20986,85.14178,189.0
Pacharauta Municipality,26.909,85.07907,83.0
Simraungadh Municipality,26.89957,85.13285,83.0
Adarshkotwal Rural Municipality,26.94569,85.14527,90.0
Baragadhi Rural Municipality,27.03777,85.12796,98.0
Bishrampur Rural Municipality,27.08282,85.39485,127.0
Devtal Rural Municipality,26.94815,85.01322,87.0
Karaiyamai Rural Municipality,27.02564,85.10103,98.0
Parwanipur Rural Municipality,27.12512,85.74784,409.0
Pheta Rural Municipality,27.00674,84.94309,89.0
Prasauni Rural Municipality,27.08446,85.11327,112.0
Suwarna Rural Municipality,26.92622,85.06191,83.0
Jitpur Simara Sub-Metropolitian City,27.21465,85.01468,201.0
Kalaiya Sub-Metropolitian City,27.67465,85.32364,1326.0
Bideha Municipality,26.68535,86.06249,79.0
Chhireshwornath Municipality,26.84729,85.96202,112.0
Dhanusadham Municipality,26.88194,86.03908,135.0
Ganeshman Charnath Municipality,26.92745,86.21001,225.0
Hansapur Municipality,28.17034,84.641,1445.0
Kamala Municipality,26.85116,86.03592,116.0
Mithila Bihari Municipality,26.79502,86.01362,97.0
Mithila Municipality,26.99735,85.97365,313.0
Nagarain Municipality,26.66034,85.93633,72.0
Sabaila Municipality,26.79502,86.10218,93.0
Sahidnagar Municipality,26.73352,86.09848,88.0
Aaurahi Rural Municipality,26.6917,86.00311,73.0
Bateshwor Rural Municipality,26.91822,85.92106,162.0
Dhanauji Rural Municipality,26.67741,85.99672,76.0
Janaknandani Rural Municipality,26.63676,86.12911,75.0
Lakshminiya Rural Municipality,27.13828,85.23707,156.0
Mukhiyapatti Musarmiya Rural Municipality,26.60232,85.88213,64.0
Janakpurdham Sub-Metropolitian City,26.72882,85.92628,83.0
Aurahi Municipality,26.89756,85.81682,119.0
Balwa Municipality,26.77124,85.81752,84.0
Bardibas Municipality,26.97885,85.88683,202.0
Bhangaha Municipality,26.85139,85.87116,102.0
Gaushala Municipality,26.92078,85.80564,128.0
Jaleswor Municipality,26.64127,85.7913,68.0
Loharpatti Municipality,26.80186,85.8493,89.0
Manra Siswa Municipality,26.72737,85.76102,75.0
Matihani Municipality,26.61708,85.84079,66.0
Ramgopalpur Municipality,26.81037,85.79899,87.0
Ekdanra Rural Municipality,26.6751,85.74868,69.0
Mahottari Rural Municipality,26.879142237,85.819913653,108.0
Pipra Rural Municipality,26.70745,85.85249,78.0
Samsi Rural Municipality,26.80872,85.73249,88.0
Sonama Rural Municipality,26.86226,85.74337,99.0
Birgunj Metropolitian City,27.239626604,84.780150251,159.0
Bahudaramai Municipality,27.07853,84.8238,92.0
Parsagadhi Municipality,27.16668,84.89306,116.0
Pokhariya Municipality,27.08189,84.75855,88.0
Bindabasini Rural Municipality,27.03908,84.81501,86.0
Chhipaharmai Rural Municipality,27.06336,84.6647,87.0
Dhobini Rural Municipality,27.07338,84.69091,89.0
Jagarnathpur Rural Municipality,27.06714,84.69047,90.0
Jirabhawani Rural Municipality,27.18584,84.7057,109.0
Kalikamai Rural Municipality,27.239626604,84.780150251,159.0
Pakahamainpur Rural Municipality,27.02523,84.73609,81.0
Paterwasugauli Rural Municipality,27.18718,84.77259,114.0
SakhuwaPrasauni Rural Municipality,27.16299,84.81942,102.0
Thori Rural Municipality,27.36705,84.62481,289.0
Baudhimai Municipality,26.8926,85.23308,83.0
Brindaban Municipality,27.04348,85.39737,111.0
Chandrapur Municipality,27.12629,85.3846,140.0
Dewahhi Gonahi Municipality,26.91225,85.25573,85.0
Gadhimai Municipality,26.9459,85.3713,91.0
Garuda Municipality,26.95129,85.3259,92.0
Gaur Municipality,26.77969,85.27556,74.0
Gujara Municipality,27.11174,85.25082,134.0
Ishanath Municipality,26.80056,85.20921,75.0
Katahariya Municipality,26.97495,85.2354,93.0
Madhav Narayan Municipality,26.88932,85.33878,86.0
Maulapur Municipality,26.92703,85.19877,87.0
Paroha Municipality,26.85098,85.2339,80.0
Phatuwa Bijayapur Municipality,27.03446,85.20542,105.0
Rajdevi Municipality,26.76473,85.34324,76.0
Rajpur Municipality,26.81286,85.25954,78.0
Durga Bhagwati Rural Municipality,26.83213,85.31311,80.0
Yemunamai Rural Municipality,27.00158038,85.302305403,93.0
Bode Barsain Municipality,26.5704,86.5834,90.0
Dakneshwori Municipality,26.53181,86.63346,85.0
Hanumannagar Kankalini Municipality,26.51172,86.87737,74.0
Kanchanrup Municipality,26.63123,86.89474,101.0
Khadak Municipality,26.63143,86.59766,115.0
Rajbiraj Municipality,26.5402,86.74859,88.0
Saptakoshi Rural Municipality,26.71733,86.93621,102.0
Shambhunath Municipality,26.60153,86.68252,111.0
Surunga Municipality,26.69416,86.55093,140.0
Agnisair Krishna Savaran Rural Municipality,26.64004,86.78881,134.0
Balan Bihul Rural Municipality,26.598053399,86.746158901,106.0
Bishnupur Rural Municipality,26.5033,86.72616,80.0
Chhinnamasta Rural Municipality,26.44666,86.71646,71.0
Mahadeva Rural Municipality,26.53745,86.81135,80.0
Rajgadh Rural Municipality,26.598053399,86.746158901,106.0
Rupani Rural Municipality,26.62979,86.71173,133.0
Tilathi Koiladi Rural Municipality,26.4906,86.8265,74.0
Tirahut Rural Municipality,26.59105,86.86199,92.0
Bagmati Municipality,27.08079,85.4792,120.0
Balara Municipality,26.77821,85.37508,76.0
Barahathawa Municipality,27.01953,85.45917,103.0
Godaita Municipality,26.86194,85.46627,84.0
Haripur Municipality,27.02448,85.58192,122.0
