Location,T2M,RH2M,PRECTOTCORR,T2MWET,TS,WS10M_MAX
Babala_std,5.8862088034654185,21.67753767030101,5.443984613503308,7.178048944297701,7.2818093406884215,1.070076631456954
Devistan_std,5.8862088034654185,21.67753767030101,5.443984613503308,7.178048944297701,7.2818093406884215,1.070076631456954
Devikot_std,5.8862088034654185,21.67753767030101,5.443984613503308,7.178048944297701,7.2818093406884215,1.070076631456954
Patalkot_std,5.8862088034654185,21.67753767030101,5.443984613503308,7.178048944297701,7.2818093406884215,1.070076631456954
Duni_std,5.8862088034654185,21.67753767030101,5.443984613503308,7.178048944297701,7.2818093406884215,1.070076631456954
Marku_std,5.840599884089066,22.70786862531445,6.708500136734923,6.933165806684702,7.1111919382853275,0.9093408720909392
Jalpadevi_std,5.840599884089066,22.70786862531445,6.708500136734923,6.933165806684702,7.1111919382853275,0.9093408720909392
SIddheswar_std,5.8862088034654185,21.67753767030101,5.443984613503308,7.178048944297701,7.2818093406884215,1.070076631456954
Dhudharukot_std,5.8862088034654185,21.67753767030101,5.443984613503308,7.178048944297701,7.2818093406884215,1.070076631456954
Kuskot_std,5.8862088034654185,21.67753767030101,5.443984613503308,7.178048944297701,7.2818093406884215,1.070076631456954
Thanti_std,5.8862088034654185,21.67753767030101,5.443984613503308,7.178048944297701,7.2818093406884215,1.070076631456954
Sodasadevi_std,5.840599884089066,22.70786862531445,6.708500136734923,6.933165806684702,7.1111919382853275,0.9093408720909392
Sutar_std,5.840599884089066,22.70786862531445,6.708500136734923,6.933165806684702,7.1111919382853275,0.9093408720909392
Darna_std,5.840599884089066,22.70786862531445,6.708500136734923,6.933165806684702,7.1111919382853275,0.9093408720909392
Ramarosan_std,5.840599884089066,22.70786862531445,6.708500136734923,6.933165806684702,7.1111919382853275,0.9093408720909392
Warla_std,5.840599884089066,22.70786862531445,6.708500136734923,6.933165806684702,7.1111919382853275,0.9093408720909392
Binayak_std,5.840599884089066,22.70786862531445,6.708500136734923,6.933165806684702,7.1111919382853275,0.9093408720909392
Kalekanda_std,5.840599884089066,22.70786862531445,6.708500136734923,6.933165806684702,7.1111919382853275,0.9093408720909392
Bayala_std,5.840599884089066,22.70786862531445,6.708500136734923,6.933165806684702,7.1111919382853275,0.9093408720909392
Muli_std,5.840599884089066,22.70786862531445,6.708500136734923,6.933165806684702,7.1111919382853275,0.9093408720909392
Dhakari_std,5.840599884089066,22.70786862531445,6.708500136734923,6.933165806684702,7.1111919382853275,0.9093408720909392
Basti_std,5.840599884089066,22.70786862531445,6.708500136734923,6.933165806684702,7.1111919382853275,0.9093408720909392
Payal_std,5.840599884089066,22.70786862531445,6.708500136734923,6.933165806684702,7.1111919382853275,0.9093408720909392
Nada_std,7.20146533779049,17.47253719425365,4.419400505358011,7.8432403146364384,8.98053603084994,1.3218813185248275
Rahaph_std,7.20146533779049,17.47253719425365,4.419400505358011,7.8432403146364384,8.98053603084994,1.3218813185248275
Bhairavsthan_std,7.20146533779049,17.47253719425365,4.419400505358011,7.8432403146364384,8.98053603084994,1.3218813185248275
Dhamali_std,5.840599884089066,22.70786862531445,6.708500136734923,6.933165806684702,7.1111919382853275,0.9093408720909392
Sakot_std,5.840599884089066,22.70786862531445,6.708500136734923,6.933165806684702,7.1111919382853275,0.9093408720909392
Mangalstan_std,5.840599884089066,22.70786862531445,6.708500136734923,6.933165806684702,7.1111919382853275,0.9093408720909392
Hansapur_std,5.2165334157398435,23.698024914871453,8.780932931505802,6.554408358525766,6.7311847147661155,1.40411462177939
Khan_std,5.2165334157398435,23.698024914871453,8.780932931505802,6.554408358525766,6.7311847147661155,1.40411462177939
Bhagawati_std,5.2165334157398435,23.698024914871453,8.780932931505802,6.554408358525766,6.7311847147661155,1.40411462177939
Argha_std,5.2165334157398435,23.698024914871453,8.780932931505802,6.554408358525766,6.7311847147661155,1.40411462177939
Dhakawang_std,5.2165334157398435,23.698024914871453,8.780932931505802,6.554408358525766,6.7311847147661155,1.40411462177939
Nuwakot_std,5.2165334157398435,23.698024914871453,8.780932931505802,6.554408358525766,6.7311847147661155,1.40411462177939
Sandikhanrka_std,5.2165334157398435,23.698024914871453,8.780932931505802,6.554408358525766,6.7311847147661155,1.40411462177939
Kerunga_std,5.2165334157398435,23.698024914871453,8.780932931505802,6.554408358525766,6.7311847147661155,1.40411462177939
Khidim_std,5.2165334157398435,23.698024914871453,8.780932931505802,6.554408358525766,6.7311847147661155,1.40411462177939
Narpani_std,5.2165334157398435,23.698024914871453,8.780932931505802,6.554408358525766,6.7311847147661155,1.40411462177939
Dhanchaur_std,5.2165334157398435,23.698024914871453,8.780932931505802,6.554408358525766,6.7311847147661155,1.40411462177939
Siddara_std,5.2165334157398435,23.698024914871453,8.780932931505802,6.554408358525766,6.7311847147661155,1.40411462177939
Sitapur_std,5.2165334157398435,23.698024914871453,8.780932931505802,6.554408358525766,6.7311847147661155,1.40411462177939
Panrna_std,5.2165334157398435,23.698024914871453,8.780932931505802,6.554408358525766,6.7311847147661155,1.40411462177939
Maidan_std,5.2165334157398435,23.698024914871453,8.780932931505802,6.554408358525766,6.7311847147661155,1.40411462177939
Simalpani_std,5.2165334157398435,23.698024914871453,8.780932931505802,6.554408358525766,6.7311847147661155,1.40411462177939
Shiralaya_std,5.2165334157398435,23.698024914871453,8.780932931505802,6.554408358525766,6.7311847147661155,1.40411462177939
Bhaluwang_std,5.833030507567936,22.791090873477977,8.43781234857299,6.70738166341805,7.067666183190514,1.5631221243177507
